"time","geoid","hosp_occup_mean","hosp_occup_median","hosp_occup_q25","hosp_occup_q75","hosp_admit_mean","hosp_admit_median","hosp_admit_q25","hosp_admit_q75","icu_occup_mean","icu_occup_median","icu_occup_q25","icu_occup_q75","icu_admit_mean","icu_admit_median","icu_admit_q25","icu_admit_q75","new_infect_mean","new_infect_median","new_infect_q25","new_infect_q75","new_deaths_mean","new_deaths_median","new_deaths_q25","new_deaths_q75"
"2020-09-08",6031,1299.115,831,130.75,2333.75,105.671,54,11,184.25,142.722,95,13,254,16.586,9,2,29,528.143,247.5,55.75,875,11.505,7,1,21
"2020-09-08",6033,765.754,446.5,54,1363.5,62.601,30,4.75,106,122.329,73.5,8,212.25,14.365,7,1,24,205.856,87.5,17,334,8.575,5,0,15
"2020-09-08",6035,350.93,211,34.75,606.25,29.191,15,3,49,44.237,26.5,4,76,5.126,3,0,9,121.256,56,15.75,204.5,3.283,2,0,6
"2020-09-08",6037,82579.489,47361.5,2832.25,145525.75,6630.182,3248,180.25,11096.75,10397.28,6004.5,368,18580.5,1205.678,641.5,38,2062.25,27422.908,12528.5,682,42882.75,793.434,480,33.75,1534
"2020-09-08",6039,1410.135,906.5,122.75,2568.5,114.602,62,10,197.25,176.535,119,14,315.5,20.906,12,2,36,500.381,232,50,870.5,14.182,9,1,26
"2020-09-08",6041,2773.333,1722,92.75,4857,225.166,118,7,374,443.023,283,15,780,51.741,29,1,84,717.266,339.5,15,1164.25,30.516,17.5,1,57
"2020-09-08",6043,241.82,149,16,417,19.891,10,1,31.25,43.688,28,3,78,5.167,3,0,8.25,57.275,27,4,84,2.813,2,0,5
"2020-09-08",6045,1008.714,646.5,92,1803,82.883,42,7.75,134.25,154.674,98,13,271.25,18.149,10,1,30,286.596,123,26.75,451.75,10.97,6,0.75,20
"2020-09-08",6047,1920.252,1200,87,3330.25,156.348,83,6.75,257.25,219.178,140,11,386,25.526,15,1,42,759.417,362,36.5,1208.5,18.425,11,1,34
"2020-09-08",6049,135.128,80,12.75,238.5,11.274,5,1,19,23.13,14,2,40,2.648,1,0,4,34.814,15,3,59,1.535,1,0,2
"2020-09-08",6051,157.8,93.5,17,282,13.288,7,1,23,19.913,11,2,34.25,2.439,1,0,4,52.207,22,6,91.25,1.374,1,0,2
