ICUBedCapacity,ICUBedsInUse,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,cumulativeNegativeTests,cumulativePositiveTests,currentExposed,currentInfected,currentSusceptible,date,hospitalBedCapacity,hospitalBedsRequired,ventilatorCapacity,ventilatorsInUse
3231,1203,0.99,0.11,7182,2490239,2578750,145643,112175,204649,36909788,2020-06-13,82447,4025,7873,795
3231,1225,0.99,0.13,7315,2536410,2653141,148855,114244,208598,36861548,2020-06-14,82447,4101,7873,809
3231,1248,0.99,0.11,7450,2583424,2716730,151452,116327,212584,36812451,2020-06-15,82447,4178,7873,824
3231,1272,,,7587,2631283,2784195,153560,118426,216606,36762493,2020-06-16,82447,4257,7873,839
3231,1296,,,7727,2680059,,,120764,220721,36711379,2020-06-17,82447,4338,7873,854
3231,1320,,,7870,2730088,,,124516,225231,36657598,2020-06-18,82447,4420,7873,870
3231,1346,,,8015,2782158,,,131038,230748,36599006,2020-06-19,82447,4506,7873,887
3231,1374,,,8163,2837352,,,139943,238064,36534907,2020-06-20,82447,4600,7873,904
3231,1405,,,8315,2896634,,,151024,247740,36464544,2020-06-21,82447,4706,7873,924
3231,1442,,,8469,2960896,,,164403,260153,36386904,2020-06-22,82447,4830,7873,948
3231,1485,,,8629,3031149,,,180362,275697,36300691,2020-06-23,82447,4979,7873,975
3231,1537,,,8793,3108510,,,199297,294814,36204395,2020-06-24,82447,5158,7873,1008
3231,1600,,,8963,3194239,,,221710,318018,36096254,2020-06-25,82447,5375,7873,1047
3231,1676,,,9141,3289896,,,248252,345972,35974054,2020-06-26,82447,5636,7873,1094
3231,1767,,,9328,3397451,,,279772,379521,35834979,2020-06-27,82447,5953,7873,1151
3231,1877,,,9525,3519068,,,317259,419617,35675875,2020-06-28,82447,6335,7873,1219
3231,2010,,,9735,3657436,,,361928,467478,35492838,2020-06-29,82447,6794,7873,1301
3231,2170,,,9962,3817239,,,415426,525219,35279538,2020-06-30,82447,7352,7873,1401
3231,2358,,,10205,3997483,,,477514,592399,35037206,2020-07-01,82447,8005,7873,1517
3231,2585,,,10471,4206643,,,548824,672528,34756735,2020-07-02,82447,8792,7873,1657
3231,2889,,,10813,4445954,,,626092,765189,34440157,2020-07-03,82447,9762,7873,1824
3231,3269,,,11232,4718872,,,710665,870739,34082665,2020-07-04,82447,10926,7873,2020
3231,3704,,,11701,5027821,,,803336,989576,33681045,2020-07-05,82447,12274,7873,2249
3231,4202,,,12228,5376423,,,904918,1122350,33230861,2020-07-06,82447,13823,7873,2514
3231,4768,,,12823,5768463,,,1015731,1269724,32728008,2020-07-07,82447,15594,7873,2817
3231,5409,,,13493,6207453,,,1135480,1432348,32169270,2020-07-08,82447,17600,7873,3162
3231,6129,,,14250,6697174,,,1263434,1610925,31551595,2020-07-09,82447,19856,7873,3552
3231,6934,,,15104,7240751,,,1398985,1804997,30872466,2020-07-10,82447,22381,7873,3989
3231,7828,,,16063,7840267,,,1541464,2014328,30130471,2020-07-11,82447,25185,7873,4476
3231,8817,,,17140,8498612,,,1688269,2238488,29325321,2020-07-12,82447,28278,7873,5014
3231,9901,,,18349,9217276,,,1837013,2475720,28457914,2020-07-13,82447,31667,7873,5605
3231,11084,,,19702,9996448,,,1984915,2723869,27530839,2020-07-14,82447,35352,7873,6249
3231,12363,,,21208,10834896,,,2128917,2980117,26548389,2020-07-15,82447,39322,7873,6945
3231,13735,,,22882,11730120,,,2265127,3240516,25516955,2020-07-16,82447,43563,7873,7690
3231,15195,,,24735,12678896,,,2389423,3500829,24443884,2020-07-17,82447,48053,7873,8481
3231,16730,,,26776,13674895,,,2497730,3756093,23339577,2020-07-18,82447,52747,7873,9310
3231,18332,,,29014,14712220,,,2586437,4001120,22213545,2020-07-19,82447,57609,7873,10172
3231,19983,,,31456,15781209,,,2653345,4229157,21077648,2020-07-20,82447,62580,7873,11055
3231,21662,,,34105,16872196,,,2695269,4434951,19944737,2020-07-21,82447,67586,7873,11949
3231,23347,,,36963,17974559,,,2710863,4613060,18826780,2020-07-22,82447,72553,7873,12839
3231,25015,,,40028,19077904,,,2699734,4759013,17734565,2020-07-23,82447,77402,7873,13712
3231,26644,,,43295,20172861,,,2662572,4869705,16676769,2020-07-24,82447,82060,7873,14555
3231,28205,,,46755,21248000,,,2600788,4941973,15663414,2020-07-25,82447,86438,7873,15353
3231,29673,,,50398,22292946,,,2516707,4973792,14702549,2020-07-26,82447,90451,7873,16091
3231,31026,,,54209,23300006,,,2413918,4965319,13798279,2020-07-27,82447,94034,7873,16757
3231,32243,,,58170,24261972,,,2296020,4917336,12954210,2020-07-28,82447,97127,7873,17339
3231,33293,,,62238,25169654,,,2171089,4836253,12171459,2020-07-29,82447,99647,7873,17822
3231,34201,,,66462,26029352,,,2031336,4713220,11451514,2020-07-30,82447,101652,7873,18218
3231,34921,,,70753,26829308,,,1890782,4563817,10792113,2020-07-31,82447,103032,7873,18504
3231,35454,,,75100,27571095,,,1749726,4391055,10191381,2020-08-01,82447,103799,7873,18682
3231,35802,,,79486,28255994,,,1609543,4198719,9646666,2020-08-02,82447,103968,7873,18754
3231,35968,,,83888,28884783,,,1472978,3991192,9154442,2020-08-03,82447,103562,7873,18723
3231,35960,,,88280,29459136,,,1342235,3772735,8710832,2020-08-04,82447,102615,7873,18594
3231,35787,,,92640,29982099,,,1218634,3548108,8311469,2020-08-05,82447,101177,7873,18375
3231,35458,,,96952,30455732,,,1102751,3320092,7953720,2020-08-06,82447,99278,7873,18071
3231,34988,,,101193,30884170,,,995098,3093148,7632934,2020-08-07,82447,96981,7873,17693
3231,34388,,,105352,31269875,,,895748,2869400,7346579,2020-08-08,82447,94325,7873,17246
3231,33675,,,109411,31616825,,,804643,2651877,7090735,2020-08-09,82447,91372,7873,16743
3231,32863,,,113358,31928523,,,721317,2442568,6862362,2020-08-10,82447,88177,7873,16191
3231,31965,,,117184,32207775,,,645392,2243008,6659036,2020-08-11,82447,84782,7873,15599
3231,31000,,,120878,32457879,,,576723,2053719,6477600,2020-08-12,82447,81251,7873,14977
3231,29978,,,124435,32680760,,,515183,1875041,6316259,2020-08-13,82447,77619,7873,14333
3231,28913,,,127851,32879384,,,459886,1707866,6172932,2020-08-14,82447,73928,7873,13673
3231,27820,,,131120,33056739,,,410243,1552269,6045220,2020-08-15,82447,70224,7873,13006
3231,26708,,,134241,33214907,,,365794,1408097,5931502,2020-08-16,82447,66539,7873,12338
3231,25589,,,137215,33355911,,,326046,1275071,5830245,2020-08-17,82447,62901,7873,11675
3231,24471,,,140042,33481853,,,290494,1152653,5739855,2020-08-18,82447,59336,7873,11022
