date,region,index,mean,median,lower_80,upper_80,symptomatic_onsets,positive_test_adjusted,positive_test_adjusted_raw,positive,tests,infections,new_tests,new_cases,new_deaths
2020-06-08,CA,104,1.04952940236739,1.0510390201828,0.912450545087011,1.15309469407261,1527.32207230639,1592.64373455738,1274.00896693866,2507,68972,,68972,2507,27
2020-06-09,CA,105,1.05454197420118,1.05234924300739,0.927610148920391,1.17088254064086,1541.23260949667,1600.08837532179,1381.50969554719,2170,55055,,55055,2170,44
2020-06-10,CA,106,1.05650672581238,1.05230124665883,0.928814177359655,1.18629425388423,1556.41673316499,1608.20086200032,1736.03180140906,2702,54553,,54553,2702,79
2020-06-11,CA,107,1.05814379812987,1.06271359464731,0.920099214863389,1.19157842974581,1572.93973578847,1617.01050195819,1905.13879180948,3090,56849,,56849,3090,105
2020-06-12,CA,108,1.05892829615711,1.05578625570731,0.938401330667079,1.21764400904299,1590.91903375201,1626.6034438916,1465.78357961134,2702,64611,,64611,2702,62
2020-06-13,CA,109,1.05902128256483,1.05636935514975,0.909641306014781,1.20221909843008,1610.11651747989,1637.06894744816,2064.5991919287,3660,62135,,62135,3660,46
2020-06-14,CA,110,1.06040447528197,1.05799046729059,0.891179931109803,1.20084873209815,1630.30467324622,1648.49327370783,1450.734690694,3212,77603,,77603,3212,74
2020-06-15,CA,111,1.06372401233085,1.05281365063413,0.873664187890488,1.19704761314897,1651.33782752951,1660.96417949531,1375.2979161843,2597,66186,,66186,2597,26
2020-06-16,CA,112,1.06464874087408,1.05515963908089,0.889438242772413,1.22291882567013,1673.55166702789,1674.55177705258,1061.99102435219,2108,69573,,69573,2108,32
2020-06-17,CA,113,1.06732867196806,1.05942830363605,0.874630040986524,1.22649143244464,1697.67511318888,1689.29381279888,2010.50208385279,3455,60233,,60233,3455,87
2020-06-18,CA,114,1.06972016639353,1.05613649061013,0.8537861450332,1.22028807499604,1723.75994237619,1705.19824579907,1870.15196452863,4084,76542,,76542,4084,82
2020-06-19,CA,115,1.06786014476683,1.05514830010819,0.855025298256453,1.23118888923956,1751.81178868834,1722.27552300051,1864.08955187158,4317,81172,,81172,4317,70
2020-06-20,CA,116,1.06766967820413,1.05636268628929,0.838156850981378,1.22372966689715,1782.15991283187,1740.59174743454,1733.58628161681,3893,78710,,78710,3893,64
2020-06-21,CA,117,1.06672859736378,1.05575918582276,0.837899778541835,1.24232943499321,1814.38282101357,1760.24421948924,1865.20937500422,4515,84844,,84844,4515,71
2020-06-22,CA,118,1.07193898496821,1.06452147632555,0.850407577796631,1.26255711112008,1848.22681094293,1781.33542075439,1604.05178411124,4230,92430,,92430,4230,20
